pathogen,antibiotic,resistance_level,collection_date,location
Salmonella,Doxycycline,Medium,2023-07-24,Port Jessicaberg
Salmonella,Trimethoprim,High,2020-06-01,Port Jasmineport
Campylobacter,Gentamicin,Medium,2022-12-12,North Amyside
Campylobacter,Levofloxacin,Low,2020-01-05,Port Tracey
E. coli,Ciprofloxacin,High,2024-11-07,Stephanieburgh
Campylobacter,Ciprofloxacin,Medium,2021-01-05,Edwardsberg
Campylobacter,Levofloxacin,High,2024-07-08,Port Kelly
E. coli,Azithromycin,Low,2023-08-04,West Kyleburgh
Salmonella,Doxycycline,Low,2021-02-17,West Michelleberg
Salmonella,Erythromycin,Medium,2024-02-29,Sherylberg
Salmonella,Erythromycin,Low,2021-09-17,Lake Bobby
E. coli,Azithromycin,High,2024-05-14,Glassshire
Salmonella,Chloramphenicol,Low,2020-02-17,Port Jordan
Campylobacter,Doxycycline,Medium,2024-01-04,West Joshuaburgh
E. coli,Levofloxacin,High,2024-05-03,Port Tiffanyshire
E. coli,Gentamicin,Medium,2020-03-31,Makaylaside
Campylobacter,Nitrofurantoin,Low,2021-10-08,East Tracyton
Campylobacter,Erythromycin,High,2023-06-13,Port Robertville
Salmonella,Doxycycline,High,2024-04-18,Lake Patrick
Salmonella,Ciprofloxacin,Medium,2024-05-03,Perkinsville
Salmonella,Levofloxacin,Medium,2023-06-03,Marciabury
Salmonella,Doxycycline,Medium,2020-04-10,Heathertown
Campylobacter,Levofloxacin,Medium,2021-09-07,West Tabithastad
E. coli,Amoxicillin,Medium,2022-01-13,Lunaborough
Salmonella,Gentamicin,Medium,2024-11-14,Isaacville
E. coli,Gentamicin,Medium,2024-01-01,North Debra
E. coli,Doxycycline,High,2023-02-20,Goodwinton
Salmonella,Norfloxacin,High,2020-07-31,Graytown
Salmonella,Trimethoprim,High,2021-01-31,New Williamland
E. coli,Amoxicillin,High,2023-02-02,Lake Caseybury
Campylobacter,Gentamicin,High,2021-11-21,Connieburgh
Campylobacter,Erythromycin,High,2024-07-12,Pattersonberg
E. coli,Nitrofurantoin,High,2022-01-16,Craigshire
E. coli,Amoxicillin,Medium,2023-05-09,New Christopher
Campylobacter,Ceftriaxone,Medium,2021-02-06,Port Donnaton
Campylobacter,Erythromycin,Low,2023-01-24,North Benjamintown
Campylobacter,Doxycycline,Low,2020-09-08,Johnsonfurt
E. coli,Chloramphenicol,Medium,2021-11-13,Osbornport
E. coli,Trimethoprim,High,2023-12-15,Ericmouth
Salmonella,Norfloxacin,Medium,2021-04-27,Fishermouth
Campylobacter,Nitrofurantoin,High,2021-02-22,North William
Salmonella,Chloramphenicol,Medium,2022-08-10,New Kevinview
Salmonella,Ciprofloxacin,Medium,2020-07-18,Murphychester
Salmonella,Gentamicin,Medium,2020-02-15,New Sarah
Salmonella,Azithromycin,High,2023-01-29,Nathanview
Campylobacter,Norfloxacin,Low,2023-09-18,Maryhaven
E. coli,Ciprofloxacin,High,2023-01-10,West Nathanland
Salmonella,Amoxicillin,Medium,2020-10-14,West Patrick
E. coli,Trimethoprim,High,2024-02-19,Lake Philip
Campylobacter,Chloramphenicol,Medium,2021-06-21,Lake Brian
E. coli,Chloramphenicol,High,2023-01-09,Sandersborough
Salmonella,Ciprofloxacin,Medium,2022-04-09,Crawfordport
E. coli,Doxycycline,Low,2022-12-26,Lake Williammouth
E. coli,Nitrofurantoin,Medium,2023-04-09,North Beverly
E. coli,Trimethoprim,High,2020-03-07,Port Jeremiah
Salmonella,Erythromycin,High,2023-05-26,South Richard
Salmonella,Amoxicillin,Medium,2023-01-14,Kelseyside
Campylobacter,Ciprofloxacin,Medium,2024-09-23,New Nicholaschester
Salmonella,Norfloxacin,High,2023-05-09,Davidland
E. coli,Doxycycline,Medium,2024-08-12,Ballberg
Campylobacter,Gentamicin,High,2020-07-13,Vaughnburgh
E. coli,Ciprofloxacin,High,2022-09-22,North Brandy
Campylobacter,Chloramphenicol,Low,2020-08-12,Port Michael
Salmonella,Nitrofurantoin,High,2021-05-11,East Ricardobury
E. coli,Gentamicin,Low,2024-10-13,West Johnstad
E. coli,Erythromycin,Low,2020-01-08,South Erica
Campylobacter,Ciprofloxacin,Medium,2022-04-21,West Samuel
E. coli,Chloramphenicol,Low,2022-05-31,West Terriborough
E. coli,Erythromycin,High,2024-03-09,South Melissatown
E. coli,Ciprofloxacin,Low,2024-07-13,Stephaniechester
Campylobacter,Norfloxacin,Medium,2023-03-20,North Juan
Salmonella,Trimethoprim,Low,2021-12-22,Lake Michael
E. coli,Nitrofurantoin,Low,2024-02-03,East Suzannemouth
Campylobacter,Chloramphenicol,High,2024-01-13,West Nicoleport
Campylobacter,Ciprofloxacin,Low,2020-04-05,Michaelfurt
Campylobacter,Levofloxacin,High,2024-06-11,Longmouth
Campylobacter,Nitrofurantoin,Medium,2020-02-18,Port Sarah
Campylobacter,Nitrofurantoin,Medium,2021-08-21,West Denise
Campylobacter,Doxycycline,Low,2022-07-28,Lake Bobbyview
E. coli,Nitrofurantoin,High,2021-12-15,Omarstad
E. coli,Chloramphenicol,High,2020-02-12,Matthewbury
E. coli,Levofloxacin,High,2021-09-19,Chenbury
Salmonella,Trimethoprim,Medium,2022-08-31,North Timothy
Salmonella,Levofloxacin,Low,2022-03-15,Mccoychester
E. coli,Ciprofloxacin,Low,2024-06-22,North Williamhaven
E. coli,Azithromycin,Medium,2022-11-20,Hooperfort
E. coli,Azithromycin,Low,2020-07-27,Martinside
E. coli,Trimethoprim,Low,2023-08-14,Coopershire
Salmonella,Doxycycline,Low,2022-10-11,Elizabethborough
Salmonella,Amoxicillin,Low,2023-12-27,Colemanview
E. coli,Nitrofurantoin,High,2024-06-23,Christopherborough
E. coli,Amoxicillin,Low,2022-06-24,Karlville
Salmonella,Trimethoprim,Low,2024-02-24,West Steven
Campylobacter,Azithromycin,Medium,2020-06-14,Sydneyfort
Salmonella,Azithromycin,Low,2022-12-15,West Nicholashaven
Salmonella,Levofloxacin,High,2021-08-01,Madisonmouth
Salmonella,Norfloxacin,High,2022-08-11,East Chadmouth
Campylobacter,Doxycycline,Medium,2022-06-12,Allenburgh
Campylobacter,Trimethoprim,Medium,2022-07-03,Evansview
Campylobacter,Ciprofloxacin,Medium,2023-07-11,Lake Kimberlybury
Salmonella,Amoxicillin,Medium,2022-12-14,Shorthaven
Campylobacter,Gentamicin,Low,2024-02-01,Harrisville
Salmonella,Ceftriaxone,Medium,2021-10-22,New Melissa
Campylobacter,Nitrofurantoin,High,2020-03-12,Hunterhaven
Salmonella,Amoxicillin,Low,2024-08-12,Lawrenceport
Salmonella,Trimethoprim,High,2024-04-05,Jacksonview
Campylobacter,Azithromycin,High,2020-01-23,Lake Courtneyside
E. coli,Levofloxacin,High,2021-06-30,Deannaside
Campylobacter,Ceftriaxone,Low,2020-08-14,Jamieborough
Campylobacter,Levofloxacin,Low,2024-04-04,New Lesliehaven
Salmonella,Levofloxacin,High,2023-12-09,Mollyview
E. coli,Amoxicillin,Low,2022-08-04,West Leslie
E. coli,Amoxicillin,Medium,2022-05-19,Grahamtown
Salmonella,Nitrofurantoin,Low,2021-03-04,Heidibury
